"","country","year","iso2c","Gini","GDPperCapPPP","CO2emissions","PopulationDens","UrbanPop","iso3c","region","capital","longitude","latitude","income","lending","EPI"
"1","Afghanistan",2002,"AF",NA,895.599148808249,0.0411292293382456,32.9122307998652,21.915,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA",19.23
"2","Afghanistan",2003,"AF",NA,945.686929858971,0.0456188391285911,34.4750298685783,22.237,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA",19.32
"3","Afghanistan",2004,"AF",NA,940.476298982224,0.0404152792464633,35.9952363446987,22.562,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA",19.73
"4","Afghanistan",2005,"AF",NA,1039.40824176659,0.0544039684018999,37.3739362190975,22.895,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA",19.78
"5","Afghanistan",2006,"AF",NA,1095.65562841162,0.0655247469435981,38.5742961737585,23.237,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA",20.03
"6","Afghanistan",2007,"AF",NA,1245.05922295101,0.0878576421317263,39.6372024630089,23.587,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA",20.31
"7","Afghanistan",2008,"AF",NA,1283.04098567395,0.158961557957085,40.6346552093864,23.946,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA",20.82
"8","Afghanistan",2009,"AF",NA,1525.51705383899,0.249073529591755,41.6740051465858,24.313,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA",21.36
"9","Afghanistan",2010,"AF",NA,1629.16729020532,0.30293638839023,42.8303265631223,24.689,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA",21.56
"10","Afghanistan",2011,"AF",NA,1712.58871978343,0.425262104940417,44.1276337959134,25.074,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA",21.71
"11","Afghanistan",2012,"AF",NA,1934.28563418865,0.688083612623934,45.5331970100787,25.468,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA",21.57
"12","Afghanistan",2014,"AF",NA,1939.95412493159,NA,48.4445455380939,26.282,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA",21.57
"13","Afghanistan",2016,"AF",NA,NA,NA,NA,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA",37.5
"14","Albania",2002,"AL",31.74,4785.88098074273,1.22954070946998,111.350729927007,43.501,"ALB","Europe & Central Asia (all income levels)","Tirane","19.8172","41.3317","Upper middle income","IBRD",48.96
